model_id,fertility,parity,all_models
meta-llama/Llama-3.2-1B,2.0988014611163774,1.4206662400380612,"['meta-llama/Llama-3.2-1B', 'meta-llama/Llama-3.2-3B', 'meta-llama/Llama-3.1-8B', 'meta-llama/Llama-3.1-70B', 'meta-llama/Llama-3.1-405B']"
CohereForAI/aya-expanse-8b,1.8890454494605864,1.3330894566382467,"['CohereForAI/aya-expanse-8b', 'CohereForAI/aya-expanse-32b', 'CohereForAI/aya-23-8B', 'CohereForAI/aya-23-35B', 'CohereForAI/c4ai-command-r-v01', 'CohereForAI/c4ai-command-r-plus', 'CohereForAI/c4ai-command-r-plus-08-2024']"
CohereForAI/aya-101,2.1928614783146934,1.2311202457601853,['CohereForAI/aya-101']
CohereForAI/c4ai-command-r-08-2024,1.8890454494605864,1.3330894566382467,['CohereForAI/c4ai-command-r-08-2024']
mistralai/Ministral-8B-Instruct-2410,2.2523947863928786,1.4961564337352238,['mistralai/Ministral-8B-Instruct-2410']
mistralai/Mistral-7B-Instruct-v0.3,2.873051056023403,1.655724975211876,['mistralai/Mistral-7B-Instruct-v0.3']
mistralai/Mixtral-8x7B-Instruct-v0.1,2.873051056023403,1.655724975211876,['mistralai/Mixtral-8x7B-Instruct-v0.1']
meta-llama/Meta-Llama-3-8B,2.0988014611163774,1.4206662400380612,"['meta-llama/Meta-Llama-3-8B', 'meta-llama/Meta-Llama-3-70B']"
meta-llama/Llama-2-7b-hf,2.717826152126045,1.5459376235336106,"['meta-llama/Llama-2-7b-hf', 'meta-llama/Llama-2-13b-hf', 'meta-llama/Llama-2-70b-hf']"
openai-community/gpt2,3.5579416534037116,2.1526387140925887,['openai-community/gpt2']
Qwen/Qwen2.5-0.5B,2.8889866141711797,1.7964448113581513,"['Qwen/Qwen2.5-0.5B', 'Qwen/Qwen2.5-1.5B', 'Qwen/Qwen2.5-3B', 'Qwen/Qwen2.5-7B', 'Qwen/Qwen2.5-14B', 'Qwen/Qwen2.5-32B', 'Qwen/Qwen2.5-72B']"
Qwen/Qwen2-0.5B,2.8889866141711797,1.7964448113581513,"['Qwen/Qwen2-0.5B', 'Qwen/Qwen2-1.5B', 'Qwen/Qwen2-7B', 'Qwen/Qwen2-72B', 'Qwen/Qwen1.5-0.5B', 'Qwen/Qwen1.5-1.8B', 'Qwen/Qwen1.5-4B', 'Qwen/Qwen1.5-7B', 'Qwen/Qwen1.5-14B', 'Qwen/Qwen1.5-32B', 'Qwen/Qwen1.5-72B', 'Qwen/Qwen1.5-110B']"
google/gemma-2-2b,2.105951349619502,1.3572829581951464,"['google/gemma-2-2b', 'google/gemma-2-9b', 'google/gemma-2-27b', 'google/gemma-2b', 'google/gemma-7b']"
ibm-granite/granite-3.0-8b-base,2.942121284346351,1.65251775556659,"['ibm-granite/granite-3.0-8b-base', 'ibm-granite/granite-3.0-2b-base']"
BUT-FIT/csmpt7b,1.424352926885546,0.7172087024006707,"['BUT-FIT/csmpt7b', 'BUT-FIT/CSTinyLlama-1.2B', 'BUT-FIT/Czech-GPT-2-XL-133k']"
allenai/OLMo-2-1124-7B,2.887689636243819,1.8194358709354665,"['allenai/OLMo-2-1124-7B', 'allenai/OLMo-2-1124-13B']"
gpt-4o,2.187530280662341,1.4962998752874066,['gpt-4o']
gpt-4,2.887689636243819,1.8194358709354665,['gpt-4']
gpt-3.5-turbo,2.887689636243819,1.8194358709354665,['gpt-3.5-turbo']
gpt-2,3.5579416534037116,2.1526387140925887,['gpt-2']
